name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,python3,1,20,596,497.404,482656,0,1% 1% 1% 100%,497.797
binarytrees,fsharp,3,20,565,37.924,157500,0,1% 1% 1% 100%,37.971
binarytrees,ifc,1,20,826,191.080,153804,0,0% 1% 1% 100%,191.308
binarytrees,gcc,3,20,906,9.632,100732,0,1% 0% 1% 100%,9.644
binarytrees,yarv,5,20,1123,180.544,117920,0,1% 0% 0% 100%,180.674
binarytrees,gcc,5,20,963,76.568,110540,0,0% 1% 1% 100%,76.606
binarytrees,jruby,1,20,412,316.452,2139564,0,0% 1% 1% 100%,316.824
binarytrees,clojure,6,20,705,28.136,555808,0,1% 1% 1% 100%,28.174
binarytrees,java,2,20,603,16.852,527148,0,1% 1% 0% 100%,16.877
binarytrees,yarv,3,20,439,228.240,162880,0,1% 1% 98% 100%,228.366
binarytrees,java,5,20,926,10.680,518220,0,1% 1% 0% 100%,10.697
binarytrees,fsharp,2,20,515,67.760,220012,0,1% 0% 1% 100%,67.850
binarytrees,gpp,6,20,892,11.328,150824,0,0% 1% 0% 100%,11.343
binarytrees,clojure,2,20,750,22.372,526916,0,5% 4% 3% 100%,22.406
binarytrees,go,5,20,1000,154.516,145012,0,0% 0% 1% 100%,154.626
binarytrees,java,6,20,583,7.484,401292,0,0% 1% 1% 100%,7.498
binarytrees,gnat,4,20,2167,10.884,105228,0,1% 1% 100% 100%,10.905
binarytrees,fsharp,1,20,537,26.020,126652,0,0% 0% 1% 100%,26.056
binarytrees,clojure,1,20,657,21.336,530752,0,1% 0% 1% 100%,21.366
binarytrees,php,2,20,472,237.672,353624,0,1% 51% 1% 100%,237.864
binarytrees,ghc,1,20,521,18.512,190420,0,1% 0% 0% 100%,18.542
binarytrees,typescript,1,20,475,73.452,489852,0,0% 0% 1% 100%,73.573
binarytrees,csharp,2,20,650,45.780,257840,0,0% 1% 1% 100%,45.833
binarytrees,gcc,1,20,706,34.920,66780,0,0% 1% 0% 100%,34.940
binarytrees,scala,2,20,641,22.804,697128,0,0% 1% 1% 100%,22.831
binarytrees,v8,1,20,467,41.488,467564,0,0% 0% 1% 100%,41.549
binarytrees,typescript,2,20,470,73.204,489920,0,1% 0% 0% 100%,73.327
binarytrees,dart,1,20,503,25.420,204344,0,1% 1% 0% 100%,25.450
binarytrees,go,9,20,548,205.932,129424,0,0% 1% 1% 100%,206.056
binarytrees,go,4,20,688,181.968,167512,0,0% 1% 0% 100%,182.093
binarytrees,sbcl,3,20,684,0.000,0,-10,0% 0% 0% 100%,0.013
binarytrees,perl,3,20,706,0.000,0,-2,0% 0% 9% 91%,0.104
