name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,python3,1,12,596,1.016,10664,0,9% 7% 5% 99%,1.790
binarytrees,python3,1,16,596,21.872,68800,0,1% 1% 1% 100%,21.964
binarytrees,python3,1,20,596,497.404,482656,0,1% 1% 1% 100%,497.797
binarytrees,fsharp,3,12,565,0.236,856,0,0% 0% 8% 96%,0.240
binarytrees,fsharp,3,16,565,1.452,58620,0,0% 1% 3% 100%,1.457
binarytrees,fsharp,3,20,565,37.924,157500,0,1% 1% 1% 100%,37.971
binarytrees,ifc,1,12,826,0.244,232,0,0% 15% 8% 100%,0.247
binarytrees,ifc,1,16,826,7.784,10452,0,0% 1% 1% 100%,7.798
binarytrees,ifc,1,20,826,191.080,153804,0,0% 1% 1% 100%,191.308
binarytrees,gcc,3,12,906,0.020,0,0,33% 33% 0% 100%,0.029
binarytrees,gcc,3,16,906,0.452,4116,0,2% 2% 2% 100%,0.456
binarytrees,gcc,3,20,906,9.632,100732,0,1% 0% 1% 100%,9.644
binarytrees,yarv,5,12,1123,0.492,22996,0,10% 20% 23% 98%,0.519
binarytrees,yarv,5,16,1123,8.992,53552,0,5% 6% 6% 100%,9.007
binarytrees,yarv,5,20,1123,180.544,117920,0,1% 0% 0% 100%,180.674
binarytrees,gcc,5,12,963,0.156,0,0,0% 0% 0% 100%,0.161
binarytrees,gcc,5,16,963,3.468,7376,0,1% 0% 0% 100%,3.473
binarytrees,gcc,5,20,963,76.568,110540,0,0% 1% 1% 100%,76.606
binarytrees,jruby,1,12,412,7.156,235300,0,0% 0% 1% 100%,7.173
binarytrees,jruby,1,16,412,16.736,630840,0,0% 0% 1% 100%,16.766
binarytrees,jruby,1,20,412,316.452,2139564,0,0% 1% 1% 100%,316.824
binarytrees,clojure,6,12,705,2.412,67416,0,1% 1% 0% 100%,2.418
binarytrees,clojure,6,16,705,3.700,323768,0,1% 1% 0% 100%,3.709
binarytrees,clojure,6,20,705,28.136,555808,0,1% 1% 1% 100%,28.174
binarytrees,java,2,12,603,0.220,472,0,5% 0% 0% 100%,0.225
binarytrees,java,2,16,603,0.992,111604,0,2% 1% 0% 100%,0.996
binarytrees,java,2,20,603,16.852,527148,0,1% 1% 0% 100%,16.877
binarytrees,yarv,3,12,439,0.564,7200,0,0% 0% 100% 100%,0.577
binarytrees,yarv,3,16,439,11.388,19040,0,1% 0% 100% 100%,11.398
binarytrees,yarv,3,20,439,228.240,162880,0,1% 1% 98% 100%,228.366
binarytrees,java,5,12,926,0.380,468,0,0% 0% 0% 100%,0.384
binarytrees,java,5,16,926,0.912,88316,0,1% 5% 0% 99%,0.945
binarytrees,java,5,20,926,10.680,518220,0,1% 1% 0% 100%,10.697
binarytrees,fsharp,2,12,515,0.776,43352,0,4% 1% 3% 99%,0.780
binarytrees,fsharp,2,16,515,2.652,67268,0,0% 1% 0% 100%,2.658
