name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,python3,1,20,596,510.340,478168,0,93% 96% 96% 93%,136.576
binarytrees,fsharp,3,20,565,38.228,153824,0,100% 5% 1% 1%,36.678
binarytrees,ifc,1,20,826,202.152,154072,0,98% 4% 5% 2%,202.381
binarytrees,gcc,3,20,906,9.680,105024,0,93% 77% 87% 72%,2.966
binarytrees,yarv,5,20,1123,193.752,114588,0,63% 63% 66% 96%,67.479
binarytrees,gcc,5,20,963,128.092,113984,0,52% 61% 72% 80%,48.800
binarytrees,jruby,1,20,412,333.588,2176152,0,49% 34% 30% 53%,204.694
binarytrees,clojure,6,20,705,31.636,545252,0,44% 46% 18% 31%,22.926
binarytrees,java,2,20,603,19.032,505456,0,50% 52% 17% 23%,13.558
binarytrees,yarv,3,20,439,230.912,159432,0,1% 1% 55% 46%,231.035
binarytrees,java,5,20,926,19.644,513180,0,95% 79% 87% 76%,5.884
binarytrees,fsharp,2,20,515,69.408,213544,0,23% 1% 5% 78%,66.410
binarytrees,gpp,6,20,892,16.568,180752,0,81% 85% 82% 83%,5.075
binarytrees,clojure,2,20,750,33.920,534788,0,84% 90% 78% 73%,10.452
binarytrees,go,5,20,1000,169.340,156284,0,82% 81% 80% 81%,52.510
binarytrees,go,6,20,752,18.252,100584,0,53% 50% 50% 50%,8.952
binarytrees,java,6,20,583,8.264,386484,0,47% 15% 37% 43%,5.934
binarytrees,gnat,4,20,2167,15.108,107340,0,72% 93% 67% 75%,4.978
binarytrees,fsharp,1,20,537,26.312,126628,0,6% 80% 20% 1%,25.022
binarytrees,clojure,1,20,657,24.332,532412,0,27% 44% 46% 29%,16.859
binarytrees,php,2,20,472,528.508,549952,0,34% 66% 1% 1%,529.001
binarytrees,ghc,1,20,521,42.484,180228,0,44% 93% 37% 37%,20.288
binarytrees,csharp,2,20,650,46.532,254416,0,0% 2% 4% 100%,44.809
binarytrees,gcc,1,20,706,34.396,66784,0,100% 0% 0% 0%,34.417
binarytrees,scala,2,20,641,36.824,711060,0,81% 83% 77% 77%,11.703
binarytrees,dart,1,20,503,25.848,204088,0,27% 69% 9% 2%,24.342
binarytrees,go,9,20,548,163.816,138016,0,48% 47% 43% 46%,89.543
binarytrees,go,4,20,688,190.964,165020,0,87% 86% 86% 87%,55.528
binarytrees,sbcl,3,20,684,0.000,0,-10,0% 0% 33% 33%,0.023
binarytrees,perl,3,20,706,895.624,1018156,0,90% 95% 73% 76%,268.786
binarytrees,rust,1,20,791,14.152,79216,0,94% 96% 97% 95%,3.736
binarytrees,yarv,4,20,402,194.216,114320,0,1% 99% 0% 2%,194.322
binarytrees,hipe,1,20,441,36.412,537356,0,1% 3% 0% 97%,36.438
binarytrees,fpascal,1,20,769,33.192,65836,0,1% 1% 1% 100%,33.213
binarytrees,hack,2,20,468,0.000,0,-11,%,0.000
binarytrees,scala,5,20,688,413.852,478068,0,77% 73% 72% 76%,141.831
binarytrees,gnat,1,20,955,42.968,101240,0,1% 1% 100% 0%,42.996
binarytrees,csharp,3,20,723,63.508,394684,0,49% 48% 49% 46%,32.854
binarytrees,go,1,20,516,168.592,139492,0,49% 48% 43% 44%,91.909
binarytrees,go,8,20,814,52.276,129276,0,77% 76% 76% 78%,17.081
binarytrees,go,2,20,694,190.864,165224,0,86% 86% 86% 86%,55.916
binarytrees,perl,1,20,448,689.540,330928,0,10% 34% 64% 13%,689.959
binarytrees,gpp,2,20,553,0.000,0,-11,%,0.000
binarytrees,yarv,1,20,412,233.648,202472,0,1% 67% 0% 34%,233.760
binarytrees,ghc,4,20,612,38.172,413228,0,94% 73% 67% 67%,12.744
binarytrees,racket,2,20,640,27.700,245224,0,8% 1% 1% 93%,27.730
binarytrees,hipe,2,20,499,48.508,534160,0,93% 90% 95% 88%,13.328
binarytrees,yarv,2,20,413,230.872,202420,0,0% 1% 1% 100%,230.975
binarytrees,sbcl,2,20,649,18.188,154980,0,0% 1% 0% 100%,18.218
binarytrees,ocaml,2,20,784,38.412,102344,0,77% 33% 100% 60%,14.408
binarytrees,gnat,5,20,2167,15.136,113612,0,70% 69% 93% 76%,4.986
binarytrees,go,7,20,567,171.228,141676,0,49% 49% 46% 48%,92.700
binarytrees,php,3,20,483,669.960,1255012,0,1% 23% 54% 24%,670.823
binarytrees,go,3,20,830,0.000,0,-10,33% 33% 50% 0%,0.027
binarytrees,php,1,20,504,588.160,546228,0,9% 78% 14% 1%,588.860
binarytrees,sbcl,1,20,612,26.516,155000,0,1% 0% 0% 100%,26.550
binarytrees,csharp,1,20,654,21.328,116456,0,20% 6% 39% 41%,20.290
binarytrees,java,3,20,584,17.908,488716,0,29% 64% 16% 30%,13.025
