name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,python3,1,12,596,1.004,9940,0,82% 36% 69% 38%,1.183
binarytrees,python3,1,16,596,21.832,70884,0,88% 91% 96% 88%,6.034
binarytrees,python3,1,20,596,510.340,478168,0,93% 96% 96% 93%,136.576
binarytrees,fsharp,3,12,565,0.260,34968,0,97% 7% 9% 2%,1.765
binarytrees,fsharp,3,16,565,1.452,58460,0,1% 0% 99% 4%,1.437
binarytrees,fsharp,3,20,565,38.228,153824,0,100% 5% 1% 1%,36.678
binarytrees,ifc,1,12,826,0.288,256,0,10% 13% 94% 16%,0.306
binarytrees,ifc,1,16,826,8.916,10720,0,1% 1% 2% 100%,8.932
binarytrees,ifc,1,20,826,202.152,154072,0,98% 4% 5% 2%,202.381
binarytrees,gcc,3,12,906,0.032,0,0,75% 33% 33% 50%,0.030
binarytrees,gcc,3,16,906,0.452,0,0,92% 86% 69% 92%,0.139
binarytrees,gcc,3,20,906,9.680,105024,0,93% 77% 87% 72%,2.966
binarytrees,yarv,5,12,1123,0.504,4136,0,44% 43% 61% 71%,0.237
binarytrees,yarv,5,16,1123,9.300,60056,0,48% 90% 97% 93%,2.856
binarytrees,yarv,5,20,1123,193.752,114588,0,63% 63% 66% 96%,67.479
binarytrees,gcc,5,12,963,0.164,0,0,57% 83% 86% 60%,0.058
binarytrees,gcc,5,16,963,3.468,13328,0,92% 95% 92% 96%,0.928
binarytrees,gcc,5,20,963,128.092,113984,0,52% 61% 72% 80%,48.800
binarytrees,jruby,1,12,412,6.916,222844,0,54% 74% 66% 49%,2.893
binarytrees,jruby,1,16,412,17.296,623888,0,27% 27% 83% 20%,11.231
binarytrees,jruby,1,20,412,333.588,2176152,0,49% 34% 30% 53%,204.694
binarytrees,clojure,6,12,705,2.476,62156,0,17% 39% 38% 95%,1.339
binarytrees,clojure,6,16,705,3.760,322120,0,18% 66% 22% 48%,2.477
binarytrees,clojure,6,20,705,31.636,545252,0,44% 46% 18% 31%,22.926
binarytrees,java,2,12,603,0.240,0,0,95% 11% 5% 10%,0.201
binarytrees,java,2,16,603,1.048,162736,0,80% 31% 9% 10%,0.849
binarytrees,java,2,20,603,19.032,505456,0,50% 52% 17% 23%,13.558
binarytrees,yarv,3,12,439,0.568,5128,0,2% 91% 9% 5%,0.577
binarytrees,yarv,3,16,439,11.828,24352,0,1% 0% 1% 100%,11.834
binarytrees,yarv,3,20,439,230.912,159432,0,1% 1% 55% 46%,231.035
